0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
87	55	16
82	79	60
0	37	27
86	51	35
0	78	58
67	24	20
51	64	44
0	57	34
12	51	24
0	25	27
91	53	26
0	0	0
75	63	57
90	100	92
82	57	26
46	28	0
38	54	23
59	39	12
50	39	53
86	50	60
16	30	60
0	0	0
48	44	0
77	77	64
95	59	95
38	50	0
69	62	0
40	77	43
65	83	50
0	57	29
0	34	0
92	75	37
92	71	34
0	0	0
83	62	34
42	54	43
75	82	39
49	88	50
39	82	36
76	86	51
74	100	87
95	60	35
0	35	9
0	0	0
89	71	51
67	87	41
23	74	50
0	65	0
31	50	24
67	84	53
94	77	51
84	56	27
30	38	30
54	28	30
0	62	50
91	85	55
84	66	61
0	29	19
80	37	0
0	53	18
27	69	41
37	16	0
0	24	31
0	88	0
0	34	0
76	48	0
65	71	39
47	82	50
73	80	42
90	89	61
81	51	23
85	91	73
24	78	29
68	47	22
92	100	74
67	42	22
74	54	22
81	28	23
42	75	18
81	37	31
46	81	69
72	94	43
82	74	62
82	62	76
76	70	50
96	81	58
88	65	59
89	96	97
35	78	45
75	69	22
99	78	43
68	78	35
95	90	66
95	70	34
83	78	26
54	60	38
43	81	55
73	80	53
57	66	46
88	94	79
84	88	82
93	51	44
87	82	66
54	40	41
89	75	50
71	59	31
0	81	20
63	59	36
86	74	58
59	60	48
93	63	68
93	59	58
86	58	47
87	41	35
95	95	84
52	59	27
67	80	47
92	77	90
82	62	49
72	42	41
32	60	56
42	66	10
91	85	58
92	74	79
97	48	69
84	68	72
86	75	52
86	86	80
84	65	33
86	85	48
0	0	0
76	84	46
95	82	77
89	72	60
86	96	71
31	51	33
70	69	54
77	50	60
100	94	57
47	89	42
96	94	61
85	49	16
0	35	8
86	95	27
0	0	0
0	73	0
81	64	25
23	30	13
72	60	31
0	22	31
73	15	41
44	67	27
91	27	61
0	24	23
59	35	33
56	33	53
66	68	25
0	0	42
13	16	18
89	54	21
0	31	11
70	41	27
0	30	30
71	30	29
46	37	5
0	20	0
34	13	7
59	24	22
97	71	53
79	61	33
0	23	12
0	45	21
55	25	43
65	38	0
33	27	59
35	28	21
0	0	18
54	40	19
88	91	82
81	80	46
38	67	48
70	31	18
67	14	9
73	61	59
57	96	58
32	55	24
16	42	0
82	32	40
47	25	11
89	34	41
91	64	59
60	34	16
100	79	31
93	76	79
56	43	19
16	32	32
9	17	13
0	0	0
96	94	82
98	100	74
96	76	72
92	66	66
76	67	65
74	35	19
29	59	31
71	33	42
68	71	38
89	79	79
67	63	30
90	40	45
77	50	35
94	83	95
89	75	74
90	31	24
88	70	35
79	73	67
89	95	93
79	73	44
46	82	44
84	82	42
88	48	17
92	100	100
86	78	50
67	71	38
80	70	63
82	55	37
100	100	100
65	81	48
86	89	38
66	84	66
100	54	47
84	95	87
72	85	51
76	78	69
62	74	51
0	62	29
83	70	30
62	32	29
77	79	42
33	53	13
96	71	90
86	85	45
93	61	62
92	80	47
41	76	60
91	64	50
71	87	57
89	50	31
0	0	0
45	27	23
29	30	11
0	28	10
49	45	46
0	29	0
80	49	18
0	20	4
37	0	55
